t,y
0.033333333,99.99478
0.066666667,99.978697
0.1,99.951979
0.13333333,99.915385
0.16666667,99.868912
0.2,99.812182
0.23333333,99.74524
0.26666667,99.670334
0.3,99.584954
0.33333333,99.491477
0.36666667,99.389211
0.4,99.277844
0.43333333,99.158007
0.46666667,99.029596
0.5,98.893584
0.53333333,98.749609
0.56666667,98.597697
0.6,98.438926
0.63333333,98.271709
0.66666667,98.097169
0.7,97.916639
0.73333333,97.728074
0.76666667,97.533285
0.8,97.330713
0.83333333,97.122493
0.86666667,96.908289
0.9,96.686637
0.93333333,96.459448
0.96666667,96.226093
1.0,95.987259
1.0333333,95.742788
1.0666667,95.491833
1.1,95.235749
1.1333333,94.974481
1.1666667,94.707645
1.2,94.434908
1.2333333,94.158333
1.2666667,93.876084
1.3,93.589251
1.3333333,93.297211
1.3666667,93.000486
1.4,92.699895
1.4333333,92.3944
1.4666667,92.084605
1.5,91.770278
1.5333333,91.45174
1.5666667,91.129631
1.6,90.802938
1.6333333,90.472156
1.6666667,90.137847
1.7,89.799835
1.7333333,89.458187
1.7666667,89.112083
1.8,88.76353
1.8333333,88.410627
1.8666667,88.054767
1.9,87.696143
1.9333333,87.333867
1.9666667,86.968027
2.0,86.598983
2.0333333,86.227351
2.0666667,85.852386
2.1,85.474123
2.1333333,85.093532
2.1666667,84.7103
2.2,84.324027
2.2333333,83.935505
2.2666667,83.543198
2.3,83.14937
2.3333333,82.752553
2.3666667,82.353839
2.4,81.952169
2.4333333,81.547973
2.4666667,81.141295
2.5,80.732733
2.5333333,80.322367
2.5666667,79.909705
2.6,79.494354
2.6333333,79.077512
2.6666667,78.658143
2.7,78.236638
2.7333333,77.813014
2.7666667,77.388169
2.8,76.960761
2.8333333,76.532196
2.8666667,76.101561
2.9,75.669385
2.9333333,75.234701
2.9666667,74.799603
3.0,74.361616
3.0333333,73.922822
3.0666667,73.481705
3.1,73.039721
3.1333333,72.595974
3.1666667,72.150509
3.2,71.704213
3.2333333,71.255169
3.2666667,70.806215
3.3,70.354996
3.3333333,69.902379
3.3666667,69.449624
3.4,68.994021
3.4333333,68.538322
3.4666667,68.080678
3.5,67.622693
3.5333333,67.162493
3.5666667,66.701617
3.6,66.239932
3.6333333,65.77666
3.6666667,65.311745
3.7,64.846699
3.7333333,64.380297
3.7666667,63.912709
3.8,63.444349
3.8333333,62.975335
3.8666667,62.504784
3.9,62.034395
3.9333333,61.562198
3.9666667,61.089159
4.0,60.614832
4.0333333,60.140306
4.0666667,59.664024
4.1,59.187822
4.1333333,58.710744
4.1666667,58.233187
4.2,57.753799
4.2333333,57.274704
4.2666667,56.794519
4.3,56.313509
4.3333333,55.830936
4.3666667,55.349136
4.4,54.865948
4.4333333,54.382305
4.4666667,53.897023
4.5,53.412701
4.5333333,52.926829
4.5666667,52.440042
4.6,51.953851
4.6333333,51.465807
4.6666667,50.978223
4.7,50.489676
4.7333333,49.999677
4.7666667,49.510322
4.8,49.019855
4.8333333,48.529032
4.8666667,48.037676
4.9,47.54623
4.9333333,47.053414
4.9666667,46.561172
5.0,46.068074
5.0333333,45.57422
5.0666667,45.079789
5.1,44.585429
5.1333333,44.090753
5.1666667,43.595558
5.2,43.099338
5.2333333,42.602869
5.2666667,42.106353
5.3,41.609467
5.3333333,41.112738
5.3666667,40.614226
5.4,40.116259
5.4333333,39.618068
5.4666667,39.119664
5.5,38.61969
5.5333333,38.121133
5.5666667,37.621149
5.6,37.120851
5.6333333,36.620226
5.6666667,36.119565
5.7,35.619004
5.7333333,35.117805
5.7666667,34.615564
5.8,34.113736
5.8333333,33.611262
5.8666667,33.109081
5.9,32.606555
5.9333333,32.103911
5.9666667,31.600354
6.0,31.096971
6.0333333,30.593908
6.0666667,30.089536
6.1,29.585461
6.1333333,29.08116
6.1666667,28.575934
6.2,28.072059
6.2333333,27.567016
6.2666667,27.061526
6.3,26.555511
6.3333333,26.050497
6.3666667,25.544929
6.4,25.038296
6.4333333,24.531814
6.4666667,24.025547
6.5,23.518783
6.5333333,23.012857
6.5666667,22.505816
6.6,21.998085
6.6333333,21.491691
6.6666667,20.984209
6.7,20.476581
6.7333333,19.968065
6.7666667,19.460543
6.8,18.953047
6.8333333,18.444109
6.8666667,17.936661
6.9,17.427967
6.9333333,16.919629
6.9666667,16.410288
7.0,15.901939
7.0333333,15.392399
7.0666667,14.883322
7.1,14.374172
7.1333333,13.864683
7.1666667,13.35534
7.2,12.845869
7.2333333,12.336266
7.2666667,11.825995
7.3,11.316585
7.3333333,10.80691
7.3666667,10.2963
7.4,9.7860576
7.4333333,9.2757221
7.4666667,8.765244
7.5,8.2550331
7.5333333,7.7447096
7.5666667,7.2335702
7.6,6.7229248
7.6333333,6.2122618
7.6666667,5.7004332
7.7,5.1901786
7.7333333,4.6784294
7.7666667,4.1677034
7.8,3.6562461
7.8333333,3.145198
7.8666667,2.6338211
7.9,2.1220272
7.9333333,1.61071
7.9666667,1.0990041
